character_names,season,word_count
Bart Simpson,1,4868.0
Bart Simpson,2,5679.0
Bart Simpson,3,6253.0
Bart Simpson,4,4208.0
Bart Simpson,5,4287.0
Bart Simpson,6,6202.0
Bart Simpson,7,5496.0
Bart Simpson,8,4683.0
Bart Simpson,9,5270.0
Bart Simpson,10,3543.0
Bart Simpson,11,4210.0
Bart Simpson,12,2883.0
Bart Simpson,13,3061.0
Bart Simpson,14,3697.0
Bart Simpson,15,4029.0
Bart Simpson,16,3819.0
Bart Simpson,17,3294.0
Bart Simpson,18,3998.0
Bart Simpson,19,3822.0
Bart Simpson,20,3291.0
Bart Simpson,21,4897.0
Bart Simpson,22,4392.0
Bart Simpson,23,4985.0
Bart Simpson,24,4178.0
Bart Simpson,25,4505.0
Bart Simpson,26,2087.0
C. Montgomery Burns,1,646.0
C. Montgomery Burns,2,3547.0
C. Montgomery Burns,3,3250.0
C. Montgomery Burns,4,1432.0
C. Montgomery Burns,5,2528.0
C. Montgomery Burns,6,1591.0
C. Montgomery Burns,7,2827.0
C. Montgomery Burns,8,3134.0
C. Montgomery Burns,9,914.0
C. Montgomery Burns,10,1112.0
C. Montgomery Burns,11,557.0
C. Montgomery Burns,12,637.0
C. Montgomery Burns,13,1605.0
C. Montgomery Burns,14,683.0
C. Montgomery Burns,15,1233.0
C. Montgomery Burns,16,919.0
C. Montgomery Burns,17,1327.0
C. Montgomery Burns,18,476.0
C. Montgomery Burns,19,496.0
C. Montgomery Burns,20,1003.0
C. Montgomery Burns,21,1458.0
C. Montgomery Burns,22,944.0
C. Montgomery Burns,23,945.0
C. Montgomery Burns,24,1338.0
C. Montgomery Burns,25,826.0
C. Montgomery Burns,26,1669.0
Chief Wiggum,1,132.0
Chief Wiggum,2,14.0
Chief Wiggum,3,666.0
Chief Wiggum,4,648.0
Chief Wiggum,5,885.0
Chief Wiggum,6,747.0
Chief Wiggum,7,1065.0
Chief Wiggum,8,1647.0
Chief Wiggum,9,957.0
Chief Wiggum,10,1389.0
Chief Wiggum,11,782.0
Chief Wiggum,12,1087.0
Chief Wiggum,13,1118.0
Chief Wiggum,14,983.0
Chief Wiggum,15,951.0
Chief Wiggum,16,1433.0
Chief Wiggum,17,567.0
Chief Wiggum,18,687.0
Chief Wiggum,19,598.0
Chief Wiggum,20,277.0
Chief Wiggum,21,1388.0
Chief Wiggum,22,463.0
Chief Wiggum,23,632.0
Chief Wiggum,24,522.0
Chief Wiggum,25,643.0
Chief Wiggum,26,456.0
Grampa Simpson,1,330.0
Grampa Simpson,2,1666.0
Grampa Simpson,3,145.0
Grampa Simpson,4,1271.0
Grampa Simpson,5,1690.0
Grampa Simpson,6,1274.0
Grampa Simpson,7,1607.0
Grampa Simpson,8,578.0
Grampa Simpson,9,686.0
Grampa Simpson,10,694.0
Grampa Simpson,11,56.0
Grampa Simpson,12,293.0
Grampa Simpson,13,1064.0
Grampa Simpson,14,223.0
Grampa Simpson,15,548.0
Grampa Simpson,16,337.0
Grampa Simpson,17,1265.0
Grampa Simpson,18,879.0
Grampa Simpson,19,342.0
Grampa Simpson,20,552.0
Grampa Simpson,21,962.0
Grampa Simpson,22,899.0
Grampa Simpson,23,569.0
Grampa Simpson,24,1834.0
Grampa Simpson,25,448.0
Grampa Simpson,26,143.0
Homer Simpson,1,8146.0
Homer Simpson,2,14183.0
Homer Simpson,3,12199.0
Homer Simpson,4,9459.0
Homer Simpson,5,11690.0
Homer Simpson,6,11750.0
Homer Simpson,7,9611.0
Homer Simpson,8,10321.0
Homer Simpson,9,13263.0
Homer Simpson,10,15218.0
Homer Simpson,11,12723.0
Homer Simpson,12,10532.0
Homer Simpson,13,10082.0
Homer Simpson,14,11779.0
Homer Simpson,15,10970.0
Homer Simpson,16,10992.0
Homer Simpson,17,9714.0
Homer Simpson,18,9206.0
Homer Simpson,19,9498.0
Homer Simpson,20,9583.0
Homer Simpson,21,8144.0
Homer Simpson,22,7865.0
Homer Simpson,23,10631.0
Homer Simpson,24,11359.0
Homer Simpson,25,9539.0
Homer Simpson,26,7749.0
Kent Brockman,1,211.0
Kent Brockman,2,284.0
Kent Brockman,3,994.0
Kent Brockman,4,981.0
Kent Brockman,5,1278.0
Kent Brockman,6,597.0
Kent Brockman,7,550.0
Kent Brockman,8,1077.0
Kent Brockman,9,1045.0
Kent Brockman,10,682.0
Kent Brockman,11,585.0
Kent Brockman,12,924.0
Kent Brockman,13,399.0
Kent Brockman,14,518.0
Kent Brockman,15,995.0
Kent Brockman,16,593.0
Kent Brockman,17,651.0
Kent Brockman,18,667.0
Kent Brockman,19,455.0
Kent Brockman,20,209.0
Kent Brockman,21,254.0
Kent Brockman,22,378.0
Kent Brockman,23,425.0
Kent Brockman,24,554.0
Kent Brockman,25,509.0
Kent Brockman,26,283.0
Krusty the Clown,1,374.0
Krusty the Clown,2,267.0
Krusty the Clown,3,1217.0
Krusty the Clown,4,1865.0
Krusty the Clown,5,635.0
Krusty the Clown,6,973.0
Krusty the Clown,7,1257.0
Krusty the Clown,8,685.0
Krusty the Clown,9,1333.0
Krusty the Clown,10,311.0
Krusty the Clown,11,431.0
Krusty the Clown,12,1836.0
Krusty the Clown,13,523.0
Krusty the Clown,14,1052.0
Krusty the Clown,15,858.0
Krusty the Clown,16,665.0
Krusty the Clown,17,450.0
Krusty the Clown,18,978.0
Krusty the Clown,19,1144.0
Krusty the Clown,20,198.0
Krusty the Clown,21,885.0
Krusty the Clown,22,557.0
Krusty the Clown,23,1230.0
Krusty the Clown,24,195.0
Krusty the Clown,25,584.0
Krusty the Clown,26,781.0
Lisa Simpson,1,1871.0
Lisa Simpson,2,3857.0
Lisa Simpson,3,3995.0
Lisa Simpson,4,2916.0
Lisa Simpson,5,3063.0
Lisa Simpson,6,5331.0
Lisa Simpson,7,5260.0
Lisa Simpson,8,4444.0
Lisa Simpson,9,5063.0
Lisa Simpson,10,4629.0
Lisa Simpson,11,3947.0
