character_names,season,number_in_season,word_count
Bart Simpson,1,1,335.0
Bart Simpson,1,2,619.0
Bart Simpson,1,3,209.0
Bart Simpson,1,4,189.0
Bart Simpson,1,5,795.0
Bart Simpson,1,6,400.0
Bart Simpson,1,7,176.0
Bart Simpson,1,8,555.0
Bart Simpson,1,9,293.0
Bart Simpson,1,10,260.0
Bart Simpson,1,11,387.0
Bart Simpson,1,12,392.0
Bart Simpson,1,13,258.0
Bart Simpson,2,1,1063.0
Bart Simpson,2,2,26.0
Bart Simpson,2,3,236.0
Bart Simpson,2,4,65.0
Bart Simpson,2,5,150.0
Bart Simpson,2,6,213.0
Bart Simpson,2,7,513.0
Bart Simpson,2,8,356.0
Bart Simpson,2,9,102.0
Bart Simpson,2,10,193.0
Bart Simpson,2,11,162.0
Bart Simpson,2,12,71.0
Bart Simpson,2,13,212.0
Bart Simpson,2,14,110.0
Bart Simpson,2,15,115.0
Bart Simpson,2,16,321.0
Bart Simpson,2,17,92.0
Bart Simpson,2,18,113.0
Bart Simpson,2,19,196.0
Bart Simpson,2,20,265.0
Bart Simpson,2,21,916.0
Bart Simpson,2,22,189.0
Bart Simpson,3,1,531.0
Bart Simpson,3,2,140.0
Bart Simpson,3,3,206.0
Bart Simpson,3,4,349.0
Bart Simpson,3,5,269.0
Bart Simpson,3,6,490.0
Bart Simpson,3,7,218.0
Bart Simpson,3,8,146.0
Bart Simpson,3,9,362.0
Bart Simpson,3,10,146.0
Bart Simpson,3,11,159.0
Bart Simpson,3,12,88.0
Bart Simpson,3,13,457.0
Bart Simpson,3,14,152.0
Bart Simpson,3,15,82.0
Bart Simpson,3,16,395.0
Bart Simpson,3,17,82.0
Bart Simpson,3,18,392.0
Bart Simpson,3,19,169.0
Bart Simpson,3,20,95.0
Bart Simpson,3,21,300.0
Bart Simpson,3,22,262.0
Bart Simpson,3,23,593.0
Bart Simpson,3,24,170.0
Bart Simpson,4,1,521.0
Bart Simpson,4,2,63.0
Bart Simpson,4,3,78.0
Bart Simpson,4,4,196.0
Bart Simpson,4,5,248.0
Bart Simpson,4,6,334.0
Bart Simpson,4,7,127.0
Bart Simpson,4,8,327.0
Bart Simpson,4,9,40.0
Bart Simpson,4,10,304.0
Bart Simpson,4,11,69.0
Bart Simpson,4,12,111.0
Bart Simpson,4,13,155.0
Bart Simpson,4,14,299.0
Bart Simpson,4,15,158.0
Bart Simpson,4,16,127.0
Bart Simpson,4,17,67.0
Bart Simpson,4,18,200.0
Bart Simpson,4,19,241.0
Bart Simpson,4,20,252.0
Bart Simpson,4,21,126.0
Bart Simpson,4,22,165.0
Bart Simpson,5,1,109.0
Bart Simpson,5,2,171.0
Bart Simpson,5,3,124.0
Bart Simpson,5,4,75.0
Bart Simpson,5,5,383.0
Bart Simpson,5,6,60.0
Bart Simpson,5,7,155.0
Bart Simpson,5,8,412.0
Bart Simpson,5,9,113.0
Bart Simpson,5,10,67.0
Bart Simpson,5,11,46.0
Bart Simpson,5,12,503.0
Bart Simpson,5,13,31.0
Bart Simpson,5,14,80.0
Bart Simpson,5,15,65.0
Bart Simpson,5,16,68.0
Bart Simpson,5,17,415.0
Bart Simpson,5,18,294.0
Bart Simpson,5,19,386.0
Bart Simpson,5,20,384.0
Bart Simpson,5,21,256.0
Bart Simpson,5,22,90.0
Bart Simpson,6,1,538.0
Bart Simpson,6,2,343.0
Bart Simpson,6,3,88.0
Bart Simpson,6,4,262.0
Bart Simpson,6,5,176.0
Bart Simpson,6,6,129.0
Bart Simpson,6,7,865.0
Bart Simpson,6,8,241.0
Bart Simpson,6,9,139.0
Bart Simpson,6,10,189.0
Bart Simpson,6,11,74.0
Bart Simpson,6,12,47.0
Bart Simpson,6,13,86.0
Bart Simpson,6,14,218.0
Bart Simpson,6,15,92.0
Bart Simpson,6,16,429.0
Bart Simpson,6,17,301.0
Bart Simpson,6,18,150.0
Bart Simpson,6,19,142.0
Bart Simpson,6,20,305.0
Bart Simpson,6,21,352.0
Bart Simpson,6,22,257.0
Bart Simpson,6,23,66.0
Bart Simpson,6,24,638.0
Bart Simpson,6,25,75.0
Bart Simpson,7,1,33.0
Bart Simpson,7,2,426.0
Bart Simpson,7,3,126.0
Bart Simpson,7,4,506.0
Bart Simpson,7,5,137.0
Bart Simpson,7,6,224.0
Bart Simpson,7,7,166.0
Bart Simpson,7,8,116.0
Bart Simpson,7,9,185.0
Bart Simpson,7,10,126.0
Bart Simpson,7,11,511.0
Bart Simpson,7,12,114.0
Bart Simpson,7,13,180.0
Bart Simpson,7,14,79.0
Bart Simpson,7,15,531.0
Bart Simpson,7,16,52.0
Bart Simpson,7,17,49.0
Bart Simpson,7,18,548.0
Bart Simpson,7,19,14.0
Bart Simpson,7,20,475.0
Bart Simpson,7,21,77.0
Bart Simpson,7,22,353.0
Bart Simpson,7,23,45.0
Bart Simpson,7,24,162.0
Bart Simpson,7,25,261.0
Bart Simpson,8,1,177.0
Bart Simpson,8,2,132.0
Bart Simpson,8,3,157.0
Bart Simpson,8,4,55.0
Bart Simpson,8,5,258.0
Bart Simpson,8,6,95.0
Bart Simpson,8,7,49.0
Bart Simpson,8,8,35.0
Bart Simpson,8,9,73.0
Bart Simpson,8,10,140.0
Bart Simpson,8,11,42.0
Bart Simpson,8,12,113.0
Bart Simpson,8,13,173.0
Bart Simpson,8,14,176.0
Bart Simpson,8,15,230.0
Bart Simpson,8,16,316.0
Bart Simpson,8,17,394.0
Bart Simpson,8,18,161.0
Bart Simpson,8,19,343.0
Bart Simpson,8,20,898.0
Bart Simpson,8,21,50.0
Bart Simpson,8,22,84.0
Bart Simpson,8,23,130.0
Bart Simpson,8,24,60.0
