title,season,number_in_season,number_in_series,original_air_date,weekday,imdb_rating,imdb_votes,us_viewers_in_millions
Simpsons Roasting on an Open Fire,1,1,1,1989-12-17,Sunday,8.2,3734.0,26.7
Bart the Genius,1,2,2,1990-01-14,Sunday,7.8,1973.0,24.5
Homer's Odyssey,1,3,3,1990-01-21,Sunday,7.5,1709.0,27.5
There's No Disgrace Like Home,1,4,4,1990-01-28,Sunday,7.8,1701.0,20.2
Bart the General,1,5,5,1990-02-04,Sunday,8.1,1732.0,27.1
Moaning Lisa,1,6,6,1990-02-11,Sunday,7.6,1674.0,27.4
The Call of the Simpsons,1,7,7,1990-02-18,Sunday,7.9,1638.0,27.6
The Telltale Head,1,8,8,1990-02-25,Sunday,7.7,1580.0,28.0
Life on the Fast Lane,1,9,9,1990-03-18,Sunday,7.5,1578.0,33.5
Homer's Night Out,1,10,10,1990-03-25,Sunday,7.4,1511.0,30.3
The Crepes of Wrath,1,11,11,1990-04-15,Sunday,7.8,1539.0,31.2
Krusty Gets Busted,1,12,12,1990-04-29,Sunday,8.3,1716.0,30.4
Some Enchanted Evening,1,13,13,1990-05-13,Sunday,7.9,1567.0,27.1
"Bart Gets an ""F""",2,1,14,1990-10-11,Thursday,8.2,1638.0,33.6
Simpson and Delilah,2,2,15,1990-10-18,Thursday,8.3,1588.0,29.9
Treehouse of Horror,2,3,16,1990-10-25,Thursday,8.2,1786.0,27.4
Two Cars in Every Garage and Three Eyes on Every Fish,2,4,17,1990-11-01,Thursday,8.1,1457.0,26.1
Dancin' Homer,2,5,18,1990-11-08,Thursday,7.5,1381.0,26.1
Dead Putting Society,2,6,19,1990-11-15,Thursday,8.0,1366.0,25.4
Bart vs. Thanksgiving,2,7,20,1990-11-22,Thursday,7.7,1324.0,25.9
Bart the Daredevil,2,8,21,1990-12-06,Thursday,8.4,1522.0,26.2
Itchy & Scratchy & Marge,2,9,22,1990-12-20,Thursday,8.1,1402.0,22.2
Bart Gets Hit by a Car,2,10,23,1991-01-10,Thursday,7.8,1340.0,24.8
"One Fish, Two Fish, Blowfish, Blue Fish",2,11,24,1991-01-24,Thursday,8.8,1687.0,24.2
The Way We Was,2,12,25,1991-01-31,Thursday,8.2,1392.0,26.8
Homer vs. Lisa and the 8th Commandment,2,13,26,1991-02-07,Thursday,8.0,1329.0,26.2
Principal Charming,2,14,27,1991-02-14,Thursday,7.5,1241.0,23.9
"Oh Brother, Where Art Thou?",2,15,28,1991-02-21,Thursday,8.2,1413.0,26.8
"Bart's Dog Gets an ""F""",2,16,29,1991-03-07,Thursday,7.5,1264.0,23.9
Old Money,2,17,30,1991-03-28,Thursday,7.6,1243.0,21.2
Brush with Greatness,2,18,31,1991-04-11,Thursday,8.0,1257.0,20.6
Lisa's Substitute,2,19,32,1991-04-25,Thursday,8.5,1684.0,17.7
The War of the Simpsons,2,20,33,1991-05-02,Thursday,7.9,1246.0,19.7
Three Men and a Comic Book,2,21,34,1991-05-09,Thursday,8.4,1379.0,21.0
Blood Feud,2,22,35,1991-07-11,Thursday,8.0,1223.0,17.3
Stark Raving Dad,3,1,36,1991-09-19,Thursday,8.6,1798.0,22.9
Mr. Lisa Goes to Washington,3,2,37,1991-09-26,Thursday,7.7,1274.0,20.2
When Flanders Failed,3,3,38,1991-10-03,Thursday,8.2,1302.0,22.8
Bart the Murderer,3,4,39,1991-10-10,Thursday,8.7,1446.0,20.8
Homer Defined,3,5,40,1991-10-17,Thursday,8.5,1452.0,20.6
"Like Father, Like Clown",3,6,41,1991-10-24,Thursday,7.7,1262.0,20.2
Treehouse of Horror II,3,7,42,1991-10-31,Thursday,8.2,1369.0,20.0
Lisa's Pony,3,8,43,1991-11-07,Thursday,7.9,1243.0,23.0
Saturdays of Thunder,3,9,44,1991-11-14,Thursday,7.9,1194.0,24.7
Flaming Moe's,3,10,45,1991-11-21,Thursday,8.8,1618.0,23.9
Burns Verkaufen der Kraftwerk,3,11,46,1991-12-05,Thursday,8.2,1291.0,21.1
I Married Marge,3,12,47,1991-12-26,Thursday,8.2,1213.0,21.9
Radio Bart,3,13,48,1992-01-09,Thursday,8.5,1365.0,24.2
Lisa the Greek,3,14,49,1992-01-23,Thursday,8.0,1179.0,23.2
Homer Alone,3,15,50,1992-02-06,Thursday,8.0,1176.0,23.7
Bart the Lover,3,16,51,1992-02-13,Thursday,8.3,1272.0,20.5
Homer at the Bat,3,17,52,1992-02-20,Thursday,8.6,1637.0,24.6
Separate Vocations,3,18,53,1992-02-27,Thursday,8.2,1201.0,23.7
Dog of Death,3,19,54,1992-03-12,Thursday,7.7,1165.0,23.4
Colonel Homer,3,20,55,1992-03-26,Thursday,7.9,1233.0,25.5
Black Widower,3,21,56,1992-04-09,Thursday,8.2,1233.0,17.3
The Otto Show,3,22,57,1992-04-23,Thursday,7.7,1176.0,17.5
Bart's Friend Falls in Love,3,23,58,1992-05-07,Thursday,7.8,1160.0,19.5
"Brother, Can You Spare Two Dimes?",3,24,59,1992-08-27,Thursday,8.2,1227.0,17.2
Kamp Krusty,4,1,60,1992-09-24,Thursday,8.4,1414.0,21.8
A Streetcar Named Marge,4,2,61,1992-10-01,Thursday,8.1,1339.0,18.3
Homer the Heretic,4,3,62,1992-10-08,Thursday,9.0,1747.0,19.3
Lisa the Beauty Queen,4,4,63,1992-10-15,Thursday,7.8,1194.0,19.0
Treehouse of Horror III,4,5,64,1992-10-29,Thursday,8.4,1394.0,25.1
Itchy & Scratchy: The Movie,4,6,65,1992-11-03,Tuesday,8.2,1293.0,20.1
Marge Gets a Job,4,7,66,1992-11-05,Thursday,7.8,1163.0,22.9
New Kid on the Block,4,8,67,1992-11-12,Thursday,8.2,1240.0,23.1
Mr. Plow,4,9,68,1992-11-19,Thursday,8.8,1595.0,24.0
Lisa's First Word,4,10,69,1992-12-03,Thursday,8.5,1350.0,28.6
Homer's Triple Bypass,4,11,70,1992-12-17,Thursday,8.7,1445.0,23.6
Marge vs. the Monorail,4,12,71,1993-01-14,Thursday,9.0,2028.0,23.0
Selma's Choice,4,13,72,1993-01-21,Thursday,8.0,1153.0,24.5
Brother from the Same Planet,4,14,73,1993-02-04,Thursday,8.1,1176.0,23.8
I Love Lisa,4,15,74,1993-02-11,Thursday,8.3,1268.0,25.2
Duffless,4,16,75,1993-02-18,Thursday,8.3,1209.0,25.7
Last Exit to Springfield,4,17,76,1993-03-11,Thursday,9.0,1827.0,22.4
So It's Come to This: A Simpsons Clip Show,4,18,77,1993-04-01,Thursday,7.2,1105.0,25.5
The Front,4,19,78,1993-04-15,Thursday,8.1,1122.0,20.1
Whacking Day,4,20,79,1993-04-29,Thursday,8.1,1234.0,20.0
Marge in Chains,4,21,80,1993-05-06,Thursday,7.7,1080.0,17.3
Krusty Gets Kancelled,4,22,81,1993-05-13,Thursday,8.2,1269.0,19.4
Homer's Barbershop Quartet,5,1,82,1993-09-30,Thursday,8.4,1416.0,19.9
Cape Feare,5,2,83,1993-10-07,Thursday,9.0,2010.0,20.0
Homer Goes to College,5,3,84,1993-10-14,Thursday,8.6,1476.0,18.1
Rosebud,5,4,85,1993-10-21,Thursday,8.9,1479.0,19.5
Treehouse of Horror IV,5,5,86,1993-10-28,Thursday,8.7,1437.0,24.0
Marge on the Lam,5,6,87,1993-11-04,Thursday,8.0,1132.0,21.7
Bart's Inner Child,5,7,88,1993-11-11,Thursday,7.7,1085.0,18.7
Boy-Scoutz 'n the Hood,5,8,89,1993-11-18,Thursday,8.7,1270.0,20.1
The Last Temptation of Homer,5,9,90,1993-12-09,Thursday,8.4,1308.0,20.6
"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",5,10,91,1993-12-16,Thursday,8.5,1274.0,17.9
Homer the Vigilante,5,11,92,1994-01-06,Thursday,8.2,1202.0,20.1
Bart Gets Famous,5,12,93,1994-02-03,Thursday,8.1,1123.0,20.0
Homer and Apu,5,13,94,1994-02-10,Thursday,8.3,1171.0,21.8
Lisa vs. Malibu Stacy,5,14,95,1994-02-17,Thursday,8.2,1187.0,20.5
Deep Space Homer,5,15,96,1994-02-24,Thursday,8.8,1505.0,18.2
Homer Loves Flanders,5,16,97,1994-03-17,Thursday,8.5,1191.0,18.0
Bart Gets an Elephant,5,17,98,1994-03-31,Thursday,7.9,1116.0,17.0
Burns' Heir,5,18,99,1994-04-14,Thursday,8.4,1143.0,14.7
Sweet Seymour Skinner's Baadasssss Song,5,19,100,1994-04-28,Thursday,8.4,1118.0,19.7
The Boy Who Knew Too Much,5,20,101,1994-05-05,Thursday,8.2,1103.0,15.5
Lady Bouvier's Lover,5,21,102,1994-05-12,Thursday,7.5,1014.0,15.1
Secrets of a Successful Marriage,5,22,103,1994-05-19,Thursday,8.0,1060.0,15.6
Bart of Darkness,6,1,104,1994-09-04,Sunday,8.6,1330.0,15.1
Lisa's Rival,6,2,105,1994-09-11,Sunday,8.1,1156.0,16.7
Another Simpsons Clip Show,6,3,106,1994-09-25,Sunday,6.0,1051.0,13.5
Itchy & Scratchy Land,6,4,107,1994-10-02,Sunday,8.5,1277.0,14.8
Sideshow Bob Roberts,6,5,108,1994-10-09,Sunday,8.3,1142.0,14.4
Treehouse of Horror V,6,6,109,1994-10-30,Sunday,9.0,1690.0,22.2
Bart's Girlfriend,6,7,110,1994-11-06,Sunday,8.0,1150.0,15.3
Lisa on Ice,6,8,111,1994-11-13,Sunday,8.4,1236.0,17.9
Homer Badman,6,9,112,1994-11-27,Sunday,9.0,1655.0,17.0
Grampa vs. Sexual Inadequacy,6,10,113,1994-12-04,Sunday,8.0,1060.0,14.1
Fear of Flying,6,11,114,1994-12-18,Sunday,7.8,1100.0,15.6
Homer the Great,6,12,115,1995-01-08,Sunday,8.9,1457.0,20.1
And Maggie Makes Three,6,13,116,1995-01-22,Sunday,8.5,1284.0,17.3
Bart's Comet,6,14,117,1995-02-05,Sunday,8.6,1221.0,18.7
Homie the Clown,6,15,118,1995-02-12,Sunday,8.5,1254.0,17.6
Bart vs. Australia,6,16,119,1995-02-19,Sunday,8.5,1353.0,15.1
Homer vs. Patty and Selma,6,17,120,1995-02-26,Sunday,7.9,1006.0,18.9
A Star Is Burns,6,18,121,1995-03-05,Sunday,8.5,1223.0,14.4
Lisa's Wedding,6,19,122,1995-03-19,Sunday,8.3,1190.0,14.4
Two Dozen and One Greyhounds,6,20,123,1995-04-09,Sunday,8.1,1051.0,11.6
The PTA Disbands,6,21,124,1995-04-16,Sunday,8.1,1004.0,11.8
'Round Springfield,6,22,125,1995-04-30,Sunday,8.3,1084.0,12.6
The Springfield Connection,6,23,126,1995-05-07,Sunday,8.2,1003.0,12.7
Lemon of Troy,6,24,127,1995-05-14,Sunday,8.6,1285.0,13.1
Who Shot Mr. Burns? (Part One),6,25,128,1995-05-21,Sunday,9.1,1619.0,15.0
Who Shot Mr. Burns? (Part Two),7,1,129,1995-09-17,Sunday,8.9,1497.0,16.0
Radioactive Man,7,2,130,1995-09-24,Sunday,8.3,1172.0,15.7
